City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,colesberg,-30.72,25.0972,5.72,68,10,8.82,ZA,1730071030
297,halifax,44.6453,-63.5724,5.81,55,1,2.24,CA,1730070652
298,dunedin,-45.8742,170.5036,9.86,72,94,5.62,NZ,1730071032
299,sinabang,2.4803,96.3801,25.77,84,82,1.05,ID,1730071033
300,sabha,27.0377,14.4283,21.16,25,31,4.66,LY,1730071034
301,wad rawah,15.1603,33.1397,28.26,11,51,6.21,SD,1730071035
302,zeya,53.75,127.2667,-7.2,89,44,1.02,RU,1730071037
303,vredendal,-31.6683,18.5012,14.61,95,100,8.71,ZA,1730071038
304,ar ruways,24.1103,52.7306,27.24,65,0,6.04,AE,1730071039
305,arraial do cabo,-22.9661,-42.0278,22.28,71,99,4.99,BR,1730071040
306,sao francisco do sul,-26.2433,-48.6381,19.42,100,100,0.1,BR,1730071041
307,antonio enes,-16.2325,39.9086,25.15,81,0,5.62,MZ,1730071042
308,bonanza,14.0289,-84.591,22.03,99,100,1.13,NI,1730071043
309,fortuna,40.5982,-124.1573,18.29,64,20,3.09,US,1730071045
310,sao gabriel da cachoeira,-0.1303,-67.0892,22.54,96,100,0.4,BR,1730071046
311,borgo val di taro,44.487,9.7658,16.67,98,99,1.37,IT,1730071047
312,arkhangel'sk,64.5401,40.5433,2.06,100,100,3.0,RU,1730070854
313,santa fe,-31.6333,-60.7,22.79,48,74,1.79,AR,1730070803
314,semirara,12.0697,121.3986,27.53,81,100,8.95,PH,1730071050
315,mari,-7.06,-35.3194,23.96,79,14,3.3,BR,1730071051
316,tolanaro,-25.0319,46.9987,24.04,94,20,8.23,MG,1730071052
317,port moresby,-9.4431,147.1797,28.72,70,89,2.26,PG,1730070931
318,bereza,53.5183,50.1397,2.01,93,40,2.0,RU,1730071055
319,bonthe,7.5264,-12.505,25.66,90,30,2.21,SL,1730071056
320,macas,-2.3167,-78.1167,24.86,73,40,2.57,EC,1730071057
321,nagqu,31.5,92.0,-4.2,27,0,1.29,CN,1730071058
322,nuuk,64.1835,-51.7216,-1.66,80,100,2.06,GL,1730071059
323,callao,-12.0667,-77.15,22.62,77,20,6.69,PE,1730071060
324,holualoa,19.6228,-155.9522,26.91,85,40,5.66,US,1730071062
325,metahara,8.9,39.9167,25.07,58,98,3.11,ET,1730071063
326,hinton,53.4001,-117.5857,5.5,96,100,1.11,CA,1730071064
327,akjoujt,19.6969,-14.4164,25.77,25,45,6.34,MR,1730071065
328,las heras,-46.5419,-68.9359,15.61,31,100,8.01,AR,1730071067
329,caxito,-8.5785,13.6643,24.49,84,79,2.24,AO,1730071069
330,la gi,10.6667,107.7833,24.65,92,100,4.81,VN,1730071070
331,namibe,-15.1961,12.1522,18.58,84,42,2.63,AO,1730071071
332,oltinko'l,40.8011,72.1634,12.31,79,100,6.01,UZ,1730071072
333,zhoushan,30.0108,122.2047,18.39,80,100,8.0,CN,1730071074
334,hobyo,5.3505,48.5268,25.81,83,98,3.19,SO,1730071075
335,santa ana,33.7456,-117.8678,27.46,51,75,4.63,US,1730071076
336,saynshand,44.8824,110.1163,4.76,56,100,4.06,MN,1730071077
